id,files,locs added,locs removed,locs total,hunks,commit time,author time
0a82172d25a6528719e1625174bfcf6dd8aa2166...62350f407558ad1eeb2d48d39cd06b9b60c0daf4,1,1,1,2,1,2012-03-06 12:57:52,2012-03-06 12:57:52
62350f407558ad1eeb2d48d39cd06b9b60c0daf4...a6c2f37357ae9ab5b64922c8f136253c97b8690e,1,5,0,5,1,2012-03-06 19:00:57,2012-03-06 19:00:57
a6c2f37357ae9ab5b64922c8f136253c97b8690e...3fceded114eacc1576a64e7ebfbab6d4a891eb61,2,6,2,8,3,2012-03-06 20:01:21,2012-03-06 20:01:21
3fceded114eacc1576a64e7ebfbab6d4a891eb61...45fcf19c4d2c8096fbafe71de67e2c5279d4d70d,1,4,6,10,3,2012-03-06 20:11:08,2012-03-06 20:11:08
a2f4337ec2004116b46892482de0149608d1e773...957599ab20ee112462766578340b134613b1a21b,1,5,1,6,2,2012-02-16 10:05:56,2012-02-16 10:05:56
45fcf19c4d2c8096fbafe71de67e2c5279d4d70d...8a0b80d5ac65631d7e5b27b1714d12d1b7dd73ce,1,1,1,2,1,2012-03-07 21:38:37,2012-03-07 21:38:37
45fcf19c4d2c8096fbafe71de67e2c5279d4d70d...456817d3b59a9e800bcad292a5d74c2dc4d2f502,1,15,2,17,2,2012-03-06 20:43:38,2012-03-06 20:43:38
456817d3b59a9e800bcad292a5d74c2dc4d2f502...8eb5442e2f20bcfb962b50bf2401458af248defe,1,35,10,45,8,2012-03-06 21:38:03,2012-03-06 21:38:03
957599ab20ee112462766578340b134613b1a21b...c7ce6af1c811d92aa4bbc5958cf6877d7d2f7fa4,1,1,1,2,1,2012-02-16 10:27:25,2012-02-16 10:27:25
8a0b80d5ac65631d7e5b27b1714d12d1b7dd73ce...e1786e38e91ae445bb1caf968907292ec247f80c,1,11,2,13,2,2012-03-08 15:20:33,2012-03-08 15:20:33
e1786e38e91ae445bb1caf968907292ec247f80c...c382aeb71081138e461685d5e7edcaeca488c821,1,2,2,4,2,2012-03-08 19:20:10,2012-03-08 19:20:10
c382aeb71081138e461685d5e7edcaeca488c821...40acfb1a7299058fbc23ea43d0a81ca2abd9907c,1,1,1,2,1,2012-03-08 19:23:33,2012-03-08 19:23:33
74a309a8036e1054989500ab06b3452ee8a1558d...8321fa7861d32f980173a286b574a1954e954d11,1,1,1,2,1,2012-03-07 22:02:09,2012-03-07 22:02:09
8321fa7861d32f980173a286b574a1954e954d11...7a7d3e71199867009aed9e120e1e397ee35f6995,1,2,2,4,2,2012-03-07 22:51:10,2012-03-07 22:37:04
7a7d3e71199867009aed9e120e1e397ee35f6995...811e045c60ff32afb4b7f287a4b054cf089b94fe,1,6,3,9,3,2012-03-07 22:51:20,2012-03-07 22:50:29
c7ce6af1c811d92aa4bbc5958cf6877d7d2f7fa4...2324484152227791a12da562cd05014febd05c8e,1,5,1,6,1,2012-02-16 12:33:06,2012-02-16 12:33:06
efae004bc8f79e8a43d2b749161e14c2c19257fb...807943dadc266f57caea0eba6ae0e680c787b99c,1,10,1,11,2,2012-03-08 20:02:05,2012-03-08 20:02:05
807943dadc266f57caea0eba6ae0e680c787b99c...eb4df9c0ee6313d564bb63f76a80eb52ad2fa63c,1,18,6,24,3,2012-03-08 20:59:41,2012-03-08 20:59:41
eb4df9c0ee6313d564bb63f76a80eb52ad2fa63c...5ff03982a1e7e6d91152d4ec0ebde63f798535e1,1,28,17,45,9,2012-03-08 21:35:08,2012-03-08 21:35:08
5ff03982a1e7e6d91152d4ec0ebde63f798535e1...2131784feaf59a41437c6d9bf5d7a8ab55eeb177,1,18,8,26,8,2012-03-08 21:56:13,2012-03-08 21:56:13
2324484152227791a12da562cd05014febd05c8e...0ee071780aa22dffd25345338acaae9bbf271ed3,2,17,12,29,6,2012-02-18 21:49:34,2012-02-18 21:49:34
5ce8ff4b9673fb6813998b08b763d167257a16ff...6c72dab0f78e9ff0fcb9847268ec767c217b0cf6,1,0,4,4,1,2012-03-14 20:08:59,2012-03-14 20:08:59
2131784feaf59a41437c6d9bf5d7a8ab55eeb177...047c1c25a188e72ba01f9dee0699834cd3b4201b,2,1,0,1,1,2012-03-10 10:59:46,2012-03-10 10:59:46
047c1c25a188e72ba01f9dee0699834cd3b4201b...207c823a694816daf315e1172954ab5a539457b5,2,10,10,20,10,2012-03-10 11:20:20,2012-03-10 11:20:20
2131784feaf59a41437c6d9bf5d7a8ab55eeb177...fa12a75011822b53f50514cabbf692ddc476c9ad,1,2,0,2,1,2012-03-09 17:52:56,2012-03-09 17:52:56
0ee071780aa22dffd25345338acaae9bbf271ed3...36816e3b4288962a452dcc5a4f59df6b0e5257ef,2,16,4,20,3,2012-02-19 12:06:29,2012-02-19 12:06:29
69a69204e79555ed7d8ef321f95b43e5ab063f0d...5cb28b612ff80627f90e7373aa22a4166a0abcaa,1,9,0,9,1,2012-03-10 11:33:56,2012-03-10 11:33:56
36816e3b4288962a452dcc5a4f59df6b0e5257ef...aa451fcd6ad4e3b3aa0b4148b9ccabfe56d3100e,1,2,0,2,1,2012-02-29 22:05:50,2012-02-29 22:05:50
5cb28b612ff80627f90e7373aa22a4166a0abcaa...9d495abba78ed5504ba05a2cf05682a694d27a1f,3,52,32,84,19,2012-03-10 14:39:22,2012-03-10 14:39:22
9d495abba78ed5504ba05a2cf05682a694d27a1f...92181f58f0cbd2849445767d220279b296ef61fe,1,4,0,4,1,2012-03-10 14:45:16,2012-03-10 14:45:16
92181f58f0cbd2849445767d220279b296ef61fe...a20c50db258fbd3725b968da3343ead2af211196,1,25,22,47,16,2012-03-10 18:26:12,2012-03-10 18:26:12
a20c50db258fbd3725b968da3343ead2af211196...2b58f53708d39f1e3de78b831cd049a90890705e,1,13,10,23,10,2012-03-10 19:18:01,2012-03-10 19:18:01
2b58f53708d39f1e3de78b831cd049a90890705e...6314e2e15012c9db69f76e77a8bb1c437a7312b8,2,32,4,36,6,2012-03-10 19:55:40,2012-03-10 19:55:40
6314e2e15012c9db69f76e77a8bb1c437a7312b8...adb2fc498b6efa107e8b9473e065171135a446c6,1,12,0,12,1,2012-03-10 20:36:25,2012-03-10 20:36:25
6314e2e15012c9db69f76e77a8bb1c437a7312b8...2f677e1292605c21d867a91f987b1bfbb94df7da,2,6,1,7,2,2012-03-10 20:22:32,2012-03-10 20:22:32
adb2fc498b6efa107e8b9473e065171135a446c6...78f2ce657c9e04182cee8ad0db23b5f92dabc2c6,1,13,2,15,4,2012-03-11 09:10:36,2012-03-11 09:10:36
78f2ce657c9e04182cee8ad0db23b5f92dabc2c6...b59a4bf4d7cca990f913a18d4aedaf8b3598577e,2,11,1,12,2,2012-03-11 09:15:35,2012-03-11 09:15:35
e2a13e35d681b9dd13700a49306c00031ae7d038...1bbf205bc71b89b0f72a83ac6a1e7f5c4c0f46b1,1,76,19,95,11,2012-03-10 22:36:08,2012-03-10 22:36:08
1bbf205bc71b89b0f72a83ac6a1e7f5c4c0f46b1...b0a139ef81aaa73a5227b5ac47b6caf8f58d359d,1,20,21,41,7,2012-03-10 22:51:20,2012-03-10 22:51:20
b0a139ef81aaa73a5227b5ac47b6caf8f58d359d...b23506e885d33b53191dc0675c0a05585895a24a,2,28,20,48,7,2012-03-10 23:06:48,2012-03-10 23:06:48
b23506e885d33b53191dc0675c0a05585895a24a...5fd0f58fc6c89e556410d07a54997cabc48b2c14,1,4,3,7,3,2012-03-10 23:14:40,2012-03-10 23:11:56
5fd0f58fc6c89e556410d07a54997cabc48b2c14...abfa87dc9176114c869647bbaf504535b93ff5bc,1,10,0,10,1,2012-03-10 23:24:41,2012-03-10 23:24:41
7d39965743bc7cc2d2e4400fd646e8ec9defd77b...c5c3988c32c3382f92e9efee3350a0fba8854c03,1,0,5,5,1,2012-08-09 12:14:17,2012-08-09 12:14:17
c5c3988c32c3382f92e9efee3350a0fba8854c03...587a4539120ce47a5fdac032bfad979397753f43,1,1,1,2,1,2012-08-09 12:20:46,2012-08-09 12:20:46
587a4539120ce47a5fdac032bfad979397753f43...492b60e2c4488c7ed45e6a7c52f734efaa5a4f05,1,4,1,5,2,2012-08-10 08:59:14,2012-08-10 08:59:14
8220ab9393a9b135b6171d700e7c5f9167379420...70bc3b737b4db64c648873620b14ba77004150ba,2,160,141,301,31,2012-03-12 21:51:07,2012-03-12 21:51:07
70bc3b737b4db64c648873620b14ba77004150ba...a055e97a54ef1d3cdd4f1ff17463d73ca3296660,1,104,95,199,16,2012-03-12 22:29:45,2012-03-12 22:29:45
a055e97a54ef1d3cdd4f1ff17463d73ca3296660...e06cda174e58b6f678e321e0b23f827a51dfca0f,1,43,43,86,18,2012-03-12 22:48:33,2012-03-12 22:48:33
e06cda174e58b6f678e321e0b23f827a51dfca0f...c64d9fbf97650c439eaf18b3bd6f4eecbb3ba114,2,6,0,6,3,2012-03-12 22:57:58,2012-03-12 22:57:58
c64d9fbf97650c439eaf18b3bd6f4eecbb3ba114...b2ba0ee4214d0e6c943dddc7ef0dbd6b90199e3f,1,9,9,18,9,2012-03-12 23:43:59,2012-03-12 23:43:59
b2ba0ee4214d0e6c943dddc7ef0dbd6b90199e3f...c4d6ab3b8a93182a11dd0099afa3d129a5d21074,1,6,1,7,1,2012-03-12 23:48:55,2012-03-12 23:48:55
c4d6ab3b8a93182a11dd0099afa3d129a5d21074...1a21865ea693f5a59ea95a429731c833f525893d,3,13,12,25,12,2012-03-14 20:44:04,2012-03-14 20:44:04
1a21865ea693f5a59ea95a429731c833f525893d...9d99c03392eda04e35a50a18dad9a7e121dedcac,3,18,5,23,4,2012-03-14 22:06:57,2012-03-14 22:06:57
9d99c03392eda04e35a50a18dad9a7e121dedcac...b0c5644b475a09704ea010025b491fd9211122c3,3,21,14,35,11,2012-03-14 22:53:17,2012-03-14 22:53:17
b0c5644b475a09704ea010025b491fd9211122c3...b3d680eab461db09db537e9da26e601ce59b84ad,2,11,11,22,11,2012-03-18 20:15:46,2012-03-18 20:15:46
b3d680eab461db09db537e9da26e601ce59b84ad...fb32cf1bddfab230e9e3a9514070f4f1aff3241f,1,2,1,3,2,2012-03-19 20:21:01,2012-03-19 20:21:01
fb32cf1bddfab230e9e3a9514070f4f1aff3241f...9af7fe0f3e457bb7ed22ee19958d9a402e8266c8,1,3,10,13,4,2012-03-19 21:28:16,2012-03-19 21:28:16
9af7fe0f3e457bb7ed22ee19958d9a402e8266c8...10b14ba7681d7ff1e0f6a8097ae80750180967c2,1,37,1,38,4,2012-03-20 21:28:43,2012-03-20 21:28:43
10b14ba7681d7ff1e0f6a8097ae80750180967c2...88662339a96563cba0b7e10884f8e42bb92081c5,2,10,4,14,3,2012-03-20 21:37:08,2012-03-20 21:37:08
363e4a1a70b3e366e005650c9087169a0737ddb5...5f5985b9c055f4b2bdc872ce5d744caf0b4af721,1,0,0,0,0,2013-06-03 16:16:03,2013-06-03 16:16:03
5f5985b9c055f4b2bdc872ce5d744caf0b4af721...35f67e80f0f3172d9eacbe6f7d52ebb08e79822d,1,0,0,0,0,2013-06-03 16:17:39,2013-06-03 16:17:39
35f67e80f0f3172d9eacbe6f7d52ebb08e79822d...35071aeb712c46a621320a35a2d889328673a684,1,2,0,2,1,2013-07-19 07:03:32,2013-07-19 07:03:32
88662339a96563cba0b7e10884f8e42bb92081c5...2a9e9b859c40a3d6b4fcbb8b36670b4bc74427a4,1,4,0,4,1,2012-03-20 21:56:01,2012-03-20 21:56:01
2a9e9b859c40a3d6b4fcbb8b36670b4bc74427a4...c7f5771211b4f400ef8ae92204246a2537f24139,1,2,2,4,1,2012-03-21 08:05:18,2012-03-21 08:05:18
c7f5771211b4f400ef8ae92204246a2537f24139...d3ce5a87359459060696ce6cbcb7a80f1813b535,2,10,1,11,2,2012-03-21 08:13:35,2012-03-21 08:13:35
d3ce5a87359459060696ce6cbcb7a80f1813b535...de6c37949fecfa4b06bbac7bc9f3aed90cae9b3b,2,2,1,3,2,2012-03-28 18:14:00,2012-03-28 18:14:00
de6c37949fecfa4b06bbac7bc9f3aed90cae9b3b...c87d7dff487137ca62681d66a3667f2862302997,1,203,41,244,78,2012-03-31 19:44:15,2012-03-31 19:44:15
c87d7dff487137ca62681d66a3667f2862302997...9e6b22dccc920a69c3fa82d61378340d172576d4,2,7,2,9,2,2012-03-31 19:46:42,2012-03-31 19:46:42
9e6b22dccc920a69c3fa82d61378340d172576d4...84e5d62349289a303de3e785d50adccf23190ef7,1,1,1,2,1,2012-03-31 19:49:52,2012-03-31 19:49:52
84e5d62349289a303de3e785d50adccf23190ef7...8949aae00ea126151332749d44836f543ed5ff66,2,4,1,5,2,2012-04-04 18:23:23,2012-04-04 18:23:23
8949aae00ea126151332749d44836f543ed5ff66...2da949ea1893494ede1e2cbf807608273d02f191,1,42,50,92,9,2012-04-04 19:39:30,2012-04-04 19:39:30
2da949ea1893494ede1e2cbf807608273d02f191...edff5a08c1903960e0550377a07bde9684774654,2,13,4,17,4,2012-04-04 21:32:17,2012-04-04 21:32:17
edff5a08c1903960e0550377a07bde9684774654...24cef7f5057c4d2dedbd5f60640c64da09181d02,1,365,158,523,49,2012-04-07 07:39:19,2012-03-28 22:03:28
24cef7f5057c4d2dedbd5f60640c64da09181d02...028a298341942ef6d928aa34ba226e41b4ae0f19,1,11,11,22,7,2012-04-20 21:45:36,2012-04-20 21:45:36
028a298341942ef6d928aa34ba226e41b4ae0f19...9ccb39dc8edb605e68c671494ec34163d9759cdf,1,3,34,37,3,2012-05-05 11:59:32,2012-05-05 11:59:32
9ccb39dc8edb605e68c671494ec34163d9759cdf...996287a1940629611a61d9bb7d37d7b3a3a2fca7,1,18,0,18,1,2012-09-29 01:09:48,2012-09-29 01:09:48
996287a1940629611a61d9bb7d37d7b3a3a2fca7...d9acb3da1b22941b65cf84f963fedf96fae9e497,1,1,1,2,1,2012-09-29 01:16:53,2012-09-29 01:16:53
9ccb39dc8edb605e68c671494ec34163d9759cdf...a021851e40d58ab3a85cdf5e8085c10ffe51aa85,1,5,0,5,1,2012-09-08 14:58:19,2012-09-08 14:58:19
562532949f4e63f3625f98910b01eecee0146995...7a6e73d03b2a46444ea0c827ec793107bfcf7bf3,1,1,1,2,1,2012-11-26 12:54:33,2012-11-26 12:54:33
ab44798b081997319f4207dabbb052736acfc512...c6856a6b2da033e7ba3f1ec221dcf7549c5cfc66,1,4,4,8,4,2013-01-12 17:24:55,2013-01-12 17:24:55
c6856a6b2da033e7ba3f1ec221dcf7549c5cfc66...1fe4041f0527e996c4cb6157a10d819b34ff7697,1,63,63,126,60,2013-01-12 17:25:39,2013-01-12 17:25:39
08f569060ad57423ee6b01a4612146414d1c577d...950bc935e6c08890930cc8432b3609ec72144374,1,1,1,2,1,2013-05-14 14:14:21,2013-05-14 14:14:21
08f569060ad57423ee6b01a4612146414d1c577d...f0c9da4ca83b5f6050adbe321dedfefffa335127,1,1,1,2,1,2013-03-25 03:04:09,2013-03-25 03:04:09
610543c8395f89648c026eec27215e000462a66d...2ba9c7cb56cf463f20a364bdbe9f4075eafffa94,1,6,0,6,1,2013-06-03 16:28:39,2013-06-03 16:28:39
a99229e9bc5dbdc8418d4b55f2a8609dc6779adf...f984ecb047ff84738c02b098319164929eb4c4ed,1,49,42,91,3,2013-03-26 17:14:02,2013-03-26 17:14:02
f984ecb047ff84738c02b098319164929eb4c4ed...080b1dbb560188accc022879a3a9ede2f13c0a76,1,1,0,1,1,2013-03-28 10:00:30,2013-03-28 10:00:30
2ba9c7cb56cf463f20a364bdbe9f4075eafffa94...a793605e9a1b3ae843af5c8c34864acd7baab48d,1,1,1,2,1,2013-06-27 09:24:04,2013-06-27 09:24:04
080b1dbb560188accc022879a3a9ede2f13c0a76...082d543d8fa564d7f5a917cda83ba3a461b46cfa,1,1,1,2,1,2013-04-10 04:55:50,2013-04-10 04:55:50
c033daf3379ddac46d232abe9bc886e269a93dda...b408fbdfaa418e50f086ebd07707bfc2af6737e7,1,0,6,6,1,2013-07-01 18:27:16,2013-07-01 18:27:16
ab090aeced919438c981b7fd97b84c7394c703a0...8e11d72f40a3ca9b39d23066393e6c4f485b1543,1,1,1,2,1,2013-05-08 10:22:35,2013-05-08 10:22:35
b408fbdfaa418e50f086ebd07707bfc2af6737e7...ba289c10b902f871c6af30e03924f7f6527a57c3,1,5,5,10,3,2014-04-04 15:33:50,2014-04-04 15:33:50
b408fbdfaa418e50f086ebd07707bfc2af6737e7...6cde43b0569e8198a8313641f80f3c3857e2fe4d,1,1,1,2,1,2013-07-26 14:34:43,2013-07-26 14:34:43
54eb33b6196a17c02cb8b51d4a4b649191a537f7...714194aadf8ce3fe01adad08744416ffcb472f0a,1,0,0,0,0,2013-07-31 14:46:29,2013-07-31 14:46:29
2b8a4bce1cd7ae02611fcb35ea98bea1c134a44e...3662f9bfa2754e44f165124ef34e59113a38a899,1,1,1,2,1,2013-08-11 02:39:59,2013-08-11 02:39:59
c4f511bacfaffe2f1ec62932deaaa6f6143ef2fb...2801ed37eefa5be6c9c29246032831fd26cc23d0,1,2,2,4,2,2014-01-25 20:14:12,2014-01-25 20:14:12
d505df4e4ed20f91b589893cba306fe693ab17d3...be1aaf18b1660affbb2d97b128900118d4ab5503,1,1,1,2,1,2014-06-25 08:12:34,2014-06-25 08:12:34
a57e83f0b79d474caeb12e6f517d0cf5c9f95655...d33aad069b1cfbf43208c3ccf71d02b8dc3a2018,1,1,1,2,1,2014-08-18 13:10:41,2014-08-18 13:10:41
9be1713880e231cb021beb7844e430e3955fd07d...e36939744ac351dd4643d3b7360213bcce34275f,1,1,1,2,1,2014-08-19 19:46:05,2014-08-19 19:46:05
9d4cc1072be5a8eed55f0889445cddd0555cb378...d3838d1aaabf0da32fb70594ee3cafae9925208f,1,2,2,4,2,2014-09-30 18:45:09,2014-09-30 18:45:09
6c8a8d4974b4a4298167bd2ce104a271d4413a4e...bc9968b1641684307a415e54667f216a30803207,1,1,2,3,1,2014-09-30 23:09:40,2014-09-30 23:09:40
e2d1eb90bf12a1be02079d74545453164d7e7ec4...1dc53d67e3bc98a093c7992aee0e6cf0ecf22350,1,1,1,2,1,2015-01-16 04:22:53,2015-01-16 04:22:53
c3d214ab6c3f2c87858d5d9585a06426511d4d71...822ef33f795ceab48ffc97c8363cccd70e912ee3,1,1,1,2,1,2015-03-10 14:07:54,2015-03-10 14:07:54
